filename,total_focus_time,windowswitch_count,windowswitch_speed,totaltime,click_count,total_mouse_movement,mousewheel_count,total_mousewheel_distance,average_mousewheel_distance,med_mousewheel_distance,copy_count,average_copy_length,med_copy_length,average_paste_length,med_paste_length,delete_count,keypress_count,highlight_count,average_highlight_length,med_highlight_length,idle_count,med_idle_duration,total_idle_duration,prompts_count,total_prompts_duration,total_prompts_length,med_prompts_length,overreliance_score
A1.json,0,-0.33480256959533505,1.202418890575726,1044.317,-1.1870950260615982,19112.26343858177,-1.8929257825717913,-2.0254220208170888,100.0,100.0,1e-06,1e-06,1e-06,17.66666766666667,15.000001,-0.856387311774464,69.000001,-1.5508563810318912,-1.6450111226771487,-1.6447179736504596,24,2008.5,48194,5.000001,-0.3367058421456747,69.000001,9.000001,13
A2.json,0,-1.0896655635015768,1.7919557167505793,615.909,0.6075555647528189,53245.778417095215,-0.6687783496339885,-0.10296608902234597,99.9999988459736,99.99999884597398,1.000001,337.000001,337.000001,1e-06,1e-06,1.9060756136590922,605.000001,0.8869965843962963,1.1192588718937513,0.7475898062147787,38,2008.0,76287,8.000001,0.4977724928723233,563.000001,71.000001,-29
A3.json,0,-0.8674397397764082,1.7518200168637026,804.573,-0.14103940886887578,26918.72791245134,-0.12551189099554746,0.4657649652642532,86.23076923076923,102.0,1e-06,1e-06,1e-06,946.000001,946.000001,1.2101591323819272,529.000001,-0.5653268564350278,-0.8999222124425197,-1.139482702873409,48,2002.0,96087,9.000001,0.4060208712462361,528.000001,40.000001,19
A4.json,0,1.2605297252877918,-0.4840104714023154,945.062,0.246208084464291,26747.643437558152,-1.1123275851997878,-1.0937040430768088,63.630946062613226,24.8883056640625,11.000001,19.181819181818184,16.000001,1299.000001,1299.000001,-0.788294547464157,108.000001,0.496192603297043,0.561625438858366,-0.3284448869877226,40,2002.0,80069,2.000001,-0.42339907222566736,108.000001,54.000001,6
A5.json,0,-1.3503760189221603,-0.9725114486171317,50.811,-1.1870950260615982,5755.784963056039,-1.6237517271018989,-1.4069292125174309,120.83333333333333,100.0,1e-06,1e-06,1e-06,1e-06,1e-06,-1.6208990472656626,1e-06,-1.5508563810318912,-1.6450111226771487,-1.6447179736504596,5,2002.0,10181,1e-06,-1.5063423254173076,1e-06,1e-06,10
A6.json,0,-0.04760088733841818,0.4583433685200534,836.499,-0.27400006025717,17445.667936095444,0.298811078069267,1.128237184530962,100.19083969465649,100.0,2.000001,172.500001,172.500001,366.250001,254.500001,0.07844087309407438,75.000001,-0.5653268564350278,1.209411506211334,1.5144499605906112,59,2008.0,118473,11.000001,2.117435209999387,118.000001,5.000001,-10
A7.json,0,1.0119478527815815,-0.4802700629371032,819.139,0.6941818928661874,53258.35347360116,-1.3028475241492188,-1.0082509260229588,102.08333333333333,100.0,1.000001,80.000001,80.000001,26.85714385714286,18.000001,0.6722390659498846,472.000001,0.3321344220136817,0.3289384830841522,0.5000156943610219,37,2007.0,74300,7.000001,0.6880950787587256,468.000001,62.000001,-47
A8.json,0,-1.3503760189221603,-0.25390437563580676,106.244,-0.8118186964815741,8206.951426639038,-1.4830467040726847,-0.7000034754464314,218.1818181818182,200.0,1.000001,337.000001,337.000001,1318.000001,1318.000001,-1.1172869101998648,6.000001,-0.7759051215063199,1.5429047253215362,1.5144499605906112,8,2011.5,16496,2.000001,-0.5575061155804074,6.000001,3.000001,26
B1.json,0,-0.671741282034237,1.5247801277436177,892.782,1.3688441007019052,60947.93418697379,0.3249670579948943,1.1649149217826151,100.74074074074075,100.0,1e-06,1e-06,1e-06,659.500001,659.500001,0.8963170816673487,569.000001,0.8550474951857192,-0.13913972425060242,-0.030483566554329943,66,2008.0,134185,4.000001,1.1964784037042873,709.000001,70.000001,0
B2.json,0,-0.4956621918814297,1.157981099622296,872.299,-0.09998484453988635,54044.47535515935,-0.6598685567934727,-0.09079595216656679,100.0,100.0,2.000001,375.000001,375.000001,1013.000001,1013.000001,0.751464431404365,1e-06,0.04603189006169203,1.248338275153747,1.5845772966355662,44,2006.0,89287,1e-06,-1.5063423254173076,1e-06,1e-06,-11
B3.json,0,1.6329141672289813,-0.7157675253118375,917.128,0.8330319668636696,34125.930510762046,1.197565667401936,0.12398427768390662,14.005255255255255,4.0,14.000001,24.571429571428574,25.500001,564.3333343333334,377.000001,0.9521703317940071,861.000001,1.1774426871477002,-0.484280293352347,-0.36504540456287365,63,2001.0,126068,7.000001,0.687368594131806,846.000001,41.000001,7
B4.json,0,-0.18616438660935505,0.7882305557218972,927.591,-0.7365581263861184,42050.98490034806,1.5536540275234911,1.8044096728332926,53.79706202393906,18.0,2.000001,18.000001,18.000001,26.333334333333333,29.000001,0.4311544981639401,537.000001,-0.7759051215063199,-0.43880798913759195,-0.2017438629428142,70,2001.0,140190,10.000001,0.32993764343505005,397.000001,37.500001,22
B5.json,0,1.4894318024424782,-0.6158844933906392,942.298,1.5804570167162675,83610.53760971023,0.1838686787982796,1.012856301867429,102.40174672489083,100.0,28.000001,35.42857242857143,24.500001,144.07692407692306,23.000001,-0.3196573340644811,281.000001,1.4628529859077737,-0.08614716980995418,-0.07453212147630285,53,2007.0,106414,7.000001,0.7389045815781397,274.000001,32.000001,-9
B6.json,0,-0.04760088733841818,0.9612141508834897,1163.064,0.3606885577426743,25834.400000080062,1.7767857052315348,0.19351162512784575,9.048111510791367,3.0,1.000001,12.000001,12.000001,16.000001,12.000001,0.12397640978149994,298.000001,0.2014616603328647,-0.7307006810083472,-0.5411259599658874,42,2002.0,87913,8.000001,0.3750246620144849,228.000001,30.500001,6
C1.json,0,1.0119478527815815,-0.8467138297094237,559.014,-1.3092823663564783,22806.1780761573,1.0831669628177334,-1.1505767026980778,3.4125523012552303,2.0,1.000001,27.000001,27.000001,1e-06,1e-06,-1.6208990472656626,1e-06,-0.7759051215063199,-0.23750474177958272,0.0005250083144089373,24,2030.0,52397,1e-06,-1.5063423254173076,1e-06,1e-06,2
C2.json,0,1.0119478527815815,-0.8467138297094237,559.014,-1.3092823663564783,22806.1780761573,1.0831669628177334,-1.1505767026980778,3.4125523012552303,2.0,1.000001,27.000001,27.000001,1e-06,1e-06,-1.6208990472656626,1e-06,-0.7759051215063199,-0.23750474177958272,0.0005250083144089373,24,2030.0,52397,1e-06,-1.5063423254173076,1e-06,1e-06,-2
C3.json,0,0.9238941860951322,-0.7023835483516672,620.167,-1.8245616977451624,17461.107622721043,-1.2239021543179298,-0.6701605455305959,133.33332519531263,133.3333251953125,1e-06,1e-06,1e-06,1e-06,1e-06,-0.788294547464157,36.000001,-1.5508563810318912,-1.6450111226771487,-1.6447179736504596,19,2348.0,45383,1.000001,-0.4947503396171168,36.000001,36.000001,23
C4.json,0,-0.18616438660935505,-0.6466019919858036,292.181,-0.022047238069409017,38679.833825512665,-0.04474529098154452,0.9390181691793502,126.01156069364161,100.0,1.000001,377.000001,377.000001,974.2857152857143,391.000001,-0.12808017623030402,19.000001,-0.3997396851953804,1.4874445785401862,1.598494404306771,27,2007.0,54190,2.000001,-0.14304607751446322,12.000001,6.000001,26
C5.json,0,-2.125692493735369,-2.5413284526180577,938.919,1.0089215078613611,68885.52236721007,0.04273759514419683,0.9482265530580433,113.98963730569949,100.0,3.000001,490.3333343333333,25.000001,34.625001,26.500001,0.3441417585999629,548.000001,0.9178032061922391,0.9703509580398506,0.6025160001610221,55,2012.0,124316,1e-06,-1.5063423254173076,1e-06,1e-06,32
C6.json,0,1.0972697458184106,-0.3278937639770328,994.316,1.1043201458573906,59400.815350355086,-0.1607644408213967,0.7786888202171209,124.60530735502307,58.94317626953125,2.000001,23.500001,23.500001,451.000001,261.500001,1.435784043179377,629.000001,1.13133195496832,-0.37741508447263666,-0.17398403879838695,46,2002.0,102099,6.000001,1.5752407089772131,1239.000001,82.000001,24
C7.json,0,-1.0896655635015768,1.1886272431529188,444.003,-1.3092823663564783,7440.157439795856,0.48732894026489737,-0.6154826404850491,12.311728395061728,4.0,1e-06,1e-06,1e-06,1e-06,1e-06,0.16757363588484286,216.000001,-1.5508563810318912,-1.6450111226771487,-1.6447179736504596,25,2007.0,51072,2.000001,-0.07061497645581818,214.000001,107.000001,41
D1.json,0,0.5390103970310228,-0.20461603027739447,776.506,1.655006449618941,80358.42305258401,0.1838686787982796,1.3312149713260375,139.3013100436681,100.0,9.000001,48.66666766666666,14.000001,159.44444544444445,14.000001,0.7386080025601546,1020.000001,1.8097557847114478,0.5114391060217174,0.3028095654231615,61,2004.0,125666,6.000001,0.8981133762930296,1015.000001,181.500001,-23
D2.json,0,-0.671741282034237,-0.836292457451052,148.849,0.6516031077057323,37096.48100286348,1.6141222043582688,0.5871710524355492,15.761486493691349,11.81818156202963,1e-06,1e-06,1e-06,638.6666676666666,388.000001,-1.6208990472656626,29.000001,0.8218652359916906,0.34800702930285166,0.010511267336225656,12,2004.0,30201,1e-06,-1.5063423254173076,1e-06,1e-06,1
D3.json,0,1.0972697458184106,-0.5804920601093393,781.316,0.6516031077057323,27955.898215731584,0.43130926550411197,-0.4259258442850799,16.41871921182266,5.0,13.000001,28.076924076923078,23.000001,231.000001,19.500001,1.1068911580417369,590.000001,0.6745474482576033,-0.10775328428508471,-0.07453212147630285,65,2001.0,130129,7.000001,0.914956224847626,586.000001,43.000001,-24
D4.json,0,-0.33480256959533505,0.08453940166986017,492.953,-0.8118186964815741,12767.19202388104,-0.5999925561135655,-0.95399209258039,32.608695652173914,8.0,3.000001,6.000001,5.000001,1339.000001,1339.000001,-0.7262299610367606,8.000001,-0.3997396851953804,-0.9699517684151133,-0.8915226880236079,20,2003.0,40069,2.000001,0.028148860403387398,8.000001,4.000001,-40
D5.json,0,0.6407722531048058,0.25476945357924496,1203.343,1.0732631136470039,105616.20385549187,0.4030018145953374,1.3312149713260375,108.13559322033899,100.0,3.000001,21.000001,21.000001,396.500001,396.500001,0.7124882751991071,391.000001,1.1996202564559149,0.4185484836929333,0.5088553154242731,70,2006.5,147291,5.000001,0.5606641045441807,391.000001,67.000001,-24
D6.json,0,-0.8674397397764082,-0.10929568359935057,240.658,-0.8118186964815741,5352.501218352387,0.2341079234328711,-0.414427239285533,20.853909465020575,8.0,1.000001,337.000001,337.000001,1339.000001,1339.000001,-0.3196573340644811,309.000001,-0.7759051215063199,1.5429047253215362,1.5144499605906112,12,2001.5,24965,1.000001,0.04991556323711303,280.000001,280.000001,-1
