filename,average_copy_length,average_highlight_length,average_mousewheel_distance,average_paste_length,average_prompt_duration,average_prompt_length,click_count,copy_count,delete_count,highlight_count,idle_count,keypress_count,med_copy_length,med_highlight_length,med_idle_duration,med_mousewheel_distance,med_paste_length,median_prompt_duration,median_prompt_length,mousewheel_count,paste_count,prompt_count,total_focus_time,total_idle_duration,total_mouse_movement,total_mousewheel_distance,total_prompt_duration,total_prompt_length,totaltime,windowswitch_count,windowswitch_speed,score_overreliance
A1.json,0.0020534772180231457,0.08910077953835306,0.3996560715072922,-1.8833164367276773,0.0,0.0,-1.8974569205794454,-1.2671957392911206,1.5418045184125482,-1.6252392516978764,-0.041012241438916575,0.048400206850666865,0.3210095908478876,0.456029635008734,1.0193295174106365,0.40419394361200195,-1.8660220861019383,0.0,0.0,-0.716457118286411,-0.036089237770568515,0.0,0.0,0.1650233571028761,-0.11941725285321919,0.10149692376008568,0.0,0.0,-1.726349415005253,0.0,0.0,1
A2.json,-0.9747169058605835,-0.9759553123602387,0.34825745342681924,-0.21172328051521996,0.0,0.0,0.07401132599357373,0.5312208483727718,-0.13877125551662806,0.30589343798436097,0.6450107062665953,0.49940041483649295,-0.6650423130509844,-0.6384023554678205,-0.40960580200224134,0.3464867162428054,-0.14173023363484177,0.0,0.0,0.367003388481909,-0.036089237770568515,0.0,0.0,0.5580457275671958,-0.012876721682050622,0.5155164922859767,0.0,0.0,0.6941580208325544,0.0,0.0,-20
A3.json,-0.9620329066590453,-0.9753093710091489,0.3996560715072922,-0.2141682615535126,0.0,0.0,0.009777969280357885,0.6330861621236602,1.3707965250544993,0.34169243754381684,-0.12676510990210554,0.5586179346960983,-0.6650423130509844,-0.6976684312826974,-0.30316858647086004,0.40419394361200195,-0.258044035970367,0.0,0.0,1.0751475105527064,0.06662408224041544,0.0,0.0,-0.1893057199490429,-0.07963210565921343,0.6748334470235542,0.0,0.0,0.44107370823345937,0.0,0.0,-37
A4.json,-0.005040598886389977,0.16684718731017126,0.3996560715072922,-0.21172328051521996,0.0,0.0,1.0722310049031523,0.5836523898757133,0.6559493986358181,0.8641159735241523,-0.5555294522180505,0.5145251294072863,-0.6650423130509844,-0.5490856934324138,-0.33504407567454325,0.40419394361200195,-0.14173023363484177,0.0,0.0,0.621935272427396,-0.036089237770568515,0.0,0.0,-0.6197950390072283,0.7027220188447622,0.5965475728352212,0.0,0.0,-0.526429998968332,0.0,0.0,5
A5.json,1.5636000652688868,1.74011770431566,0.36318160674973576,4.129182079412872,0.0,0.0,-2.293431781218645,-1.866667935179085,0.340356207040187,-1.6252392516978764,-1.1557995314603733,0.2795824037271095,1.8709746779491934,2.090103835989081,-0.3456798224545342,0.3464867162428054,4.214562147976639,0.0,0.0,-0.9359817961283582,-4.345962194399167,0.0,0.0,-1.2145722759967545,-1.8282434489372148,-0.18373727518785737,0.0,0.0,-1.3194616942429966,0.0,0.0,20
A6.json,1.2041270150448087,1.1173969631250131,-2.518036305197147,-0.20684465164956375,0.0,0.0,-1.4063111850025554,-1.2671957392911206,1.5418045184125482,-1.067016716158085,0.9022693116561622,0.20135472577366295,1.5141677265174076,1.315636636000423,-0.29255398957347967,-2.384087471554119,-0.14173023363484177,0.0,0.0,-1.1200992678667656,-0.036089237770568515,0.0,0.0,1.1705415327969364,-0.2617386844329938,-2.826332807287091,0.0,0.0,-0.38894135053416934,0.0,0.0,8
A7.json,1.2056389109310435,1.3616468160648696,-2.6975419645963177,0.2897999118557202,0.0,0.0,-0.6865106307436122,-1.2671957392911206,-1.1692115735309403,-1.6252392516978764,0.0447406270242724,0.20135472577366295,1.515668409146365,1.7155168132690382,-0.37761888782590786,-2.936162235281534,-0.14173023363484177,0.0,0.0,-0.7447828831692429,0.16310841549470423,0.0,0.0,-0.028908275235123723,-1.225653246520794,-1.5781209650212527,0.0,0.0,-0.9651516128674743,0.0,0.0,18
A8.json,1.5636000652688868,1.74011770431566,-2.518036305197147,-0.21172328051521996,0.0,0.0,-1.0363586255099262,-1.866667935179085,-1.1692115735309403,-2.1834617872376683,-0.9842937945339953,0.4526545362721045,1.8709746779491934,2.090103835989081,-0.3137884629491045,-2.384087471554119,-0.14173023363484177,0.0,0.0,-1.1200992678667656,-0.036089237770568515,0.0,0.0,-1.0434337421825626,-1.5306175501099493,-2.826332807287091,0.0,0.0,-0.6167556871455419,0.0,0.0,26
B1.json,-0.37725050209314415,-0.5381873953177505,0.39965606422124983,-0.06800924605150836,0.0,0.0,2.4056601212738737,1.4631536409909138,1.0798875790581157,1.6721201937388601,3.2175967601622646,-0.02476132629892178,-0.5425905811272869,-0.7848786034996158,-0.40960580200224134,0.4041939366491238,0.001051617235175371,0.0,0.0,3.072113934792355,1.01310287341979,0.0,0.0,3.0964949264301382,2.8610972113714674,0.8938511448903699,0.0,0.0,1.332780747910768,0.0,0.0,34
B2.json,-0.9327895303323896,-0.8893643872362804,0.26188935712211925,-0.058195082878534074,0.0,0.0,-0.12752173984819332,0.5312208483727718,0.9904916629550515,0.09825208392977698,0.7307635747297843,0.2795824037271095,-0.6011510862736136,-0.516172245009692,-0.40960580200224134,0.2690877495050661,0.001051617235175371,0.0,0.0,0.1191529457571299,-0.036089237770568515,0.0,0.0,0.6561533130500043,0.7755701739701005,0.40764134302248,0.0,0.0,0.47772998090552216,0.0,0.0,29
