filename,totaltime,click_count,total_mouse_movement,mousewheel_count,total_mousewheel_distance,average_mousewheel_distance,copy_count,average_copy_length,paste_count,average_paste_length,delete_count,keypress_count,highlight_count,average_highlight_length,idle_count,average_idle_duration,total_idle_duration
1036,887.153,96,88302.32070525167,2855,32688,11.449387040280211,3,2047.6666666666667,4,869.5,10,36,63,254.73015873015873,26,3012.1923076923076,78317
1037,920.004,9,36604.56710442406,2292,24838,10.836823734729494,3,2760.0,2,1761.0,0,2,6,3257.5,42,3011.5476190476193,126485
1041,367.957,8,24701.089084539326,25,7703.703340897581,308.14813363590326,3,1466.0,0,0,0,0,5,1752.0,14,3006.714285714286,42094
1042,724.551,7,21276.43821436269,335,12312,36.75223880597015,1,4326.0,0,0,0,0,2,4326.0,21,3066.8571428571427,64404
1043,536.11,14,50264.181679325724,522,35666.66666666676,68.32694763729265,2,2178.5,1,1782.0,0,6,5,1801.8,37,3059.5675675675675,113204
1044,528.413,10,7287.692870172482,3245,23149,7.133744221879815,3,1466.0,1,731.0,0,6,4,1456.75,15,3001.5333333333333,45023
1045,803.6,85,142942.65705578218,345,41000,118.84057971014492,1,1722.0,3,1082.3333333333333,111,616,16,560.5625,24,3011.7083333333335,72281
1050,457.661,10,8161.092001190338,2175,10895,5.00919540229885,1,4326.0,0,0,0,2,5,2664.8,12,3001.6666666666665,36020
2001,322.876,12,22943.867098431827,255,28000,109.80392156862744,1,4326.0,1,1989.0,24,182,2,2239.5,21,3008.095238095238,63170
2002,142.723,15,15323.023273299748,227,2342,10.317180616740089,2,2194.5,1,864.0,9,112,6,810.0,4,3005.25,12021
2004,572.64,6,15856.605401896277,265,23944.508666992188,90.35663647921581,1,4326.0,1,1658.0,2,0,2,4326.0,16,3001.375,48022
2011,104.928,4,17700.687551102863,120,10240,85.33333333333333,2,2275.5,1,1787.0,0,0,2,2275.5,7,3005.4285714285716,21038
2012,258.811,30,27143.15912462678,164,16500,100.60975609756098,3,1519.6666666666667,1,1249.0,12,207,14,694.4285714285714,7,3007.8571428571427,21055
2014,250.1,15,7262.333204396206,1069,13483,12.612722170252573,1,4326.0,3,217.33333333333334,1,9,4,1082.25,14,3000.8571428571427,42012
2015,382.783,21,23428.665320586657,2891,34421,11.90626080940851,1,4326.0,1,1572.0,6,95,6,915.5,19,3058.9473684210525,58120
2020,141.062,4,17519.155840804655,87,8900,102.29885057471265,1,35.0,1,1420.0,0,0,1,35.0,7,3013,21091
2026,1465.788,47,27891.837829260774,2226,38767.19999999993,17.415633423180562,5,1592.2,1,15.0,231,1820,11,1084.4545454545455,62,3011.2258064516127,186696
2027,360.053,15,15333.971948066066,2011,27118,13.48483341621084,1,4326.0,1,1680.0,2,21,4,2179.5,25,3003.64,75091
2028,176.186,3,44447.2358710457,74,8100,109.45945945945945,1,38.0,1,1243.0,0,0,2,38.0,3,3009.6666666666665,9029
2033,2165.102,26,30808.404076186955,0,0,0,1,36.0,1,384.0,0,4,11,36.0,46,3109.217391304348,143024
2034,589.739,14,33131.53390018415,0,0,0,2,130.0,1,1260.0,9,7,7,80.14285714285714,33,3051.6969696969695,100706
2035,531.927,18,30670.542261018814,484,49900,103.09917355371901,1,35.0,0,0,6,197,5,20.8,19,3025.157894736842,57478
2036,266.861,10,38605.665409465924,81,8500,104.93827160493827,0,0,1,1761.0,4,12,2,19.0,7,3135.5714285714284,21949
2040,647.333,18,18684.27745177,3399,17939,5.2777287437481615,2,2662.0,0,0,126,1224,5,2130.8,22,3001.409090909091,66031
2043,724.326,7,33820.96056712947,394,43300,109.8984771573604,0,0,0,0,195,1504,0,0,14,3001.0714285714284,42015
2046,169.487,5,6422.702335058207,2325,11648,5.0098924731182795,1,4326.0,1,618.0,0,0,1,4326.0,9,3002.222222222222,27020
2048,717.105,61,37874.527092999764,3532,43324,12.266138165345414,8,1538.625,3,883.6666666666666,33,1099,23,902.4782608695652,26,3001.269230769231,78033
