filename,total_focus_time,element_switch_count,element_switch_speed,totaltime,click_count,total_mouse_movement,mousewheel_count,total_mousewheel_distance,average_mousewheel_distance,copy_count,average_copy_length,paste_count,average_paste_length,delete_count,keypress_count,highlight_count,average_highlight_length,idle_count,average_idle_duration,total_idle_duration,prompts_count,total_prompts_duration,average_prompts_duration,tab_switch_count,total_tab_switch_time,average_tab_switch_time
1050,4,4,113.31075,453.243,10,17147.905937020525,1800,18260,10.144444444444444,0,0,1,4326.0,79,928,0,0,25,3002.24,75056,8,419.808,52.476,0,0.0,
2001,4,4,80.888,323.552,13,12353.966517989584,135,15500,114.81481481481481,1,1979.0,1,4342.0,10,140,2,1979.0,8,3018.5,24148,5,85.50800000000001,17.1016,0,0.0,
2002,5,5,28.329,141.645,8,9496.341703056918,304,6345.555443488996,20.873537643055908,1,858.0,3,2915.6666666666665,11,91,3,625.6666666666666,9,3018.5555555555557,27167,2,45.619,22.8095,0,0.0,
2004,5,5,114.48620000000001,572.431,13,10643.122710166619,179,14097.264404296875,78.75566706311103,1,1682.0,1,4326.0,29,320,2,1682.0,8,3001.625,24013,5,391.081,78.2162,0,0.0,
2011,4,4,24.91525,99.661,6,16308.822075098455,0,0,0,1,1783.0,2,2284.5,0,21,2,1783.0,5,3007.6,15038,2,37.924,18.962,0,0.0,
2012,8,8,32.266625,258.133,16,27208.90637910793,0,0,0,2,1297.5,3,1525.0,2,36,5,770.8,10,3010.1,30101,3,7.4680000000000035,2.4893333333333345,0,0.0,
2014,7,7,35.518857142857144,248.632,12,7679.397903934914,836,19750,23.624401913875598,3,217.33333333333334,1,4326.0,0,69,3,217.33333333333334,8,3001.625,24013,3,46.799,15.599666666666666,0,0.0,
2015,3,3,127.90433333333334,383.713,10,7739.718411835836,281,4239,15.08540925266904,1,1572.0,1,4326.0,36,104,3,1067.6666666666667,5,3003.4,15017,0,0,0.0,0,0.0,
2020,2,2,58.654,117.308,4,5104.523821427642,23,2300,100.0,1,1412.0,1,35.0,0,0,2,1412.0,4,3012.75,12051,1,0.0,,2,57.495,57.495
2026,12,12,121.65775000000001,1459.893,22,17211.89227790749,1152,31584,27.416666666666668,0,0,4,1986.5,42,618,1,2.0,37,3003.054054054054,111113,10,1430.3690000000001,143.0369,2,1.08,1.08
2027,5,5,72.687,363.435,9,5088.9877349126145,1221,12736,10.43079443079443,1,1680.0,1,4326.0,1,147,2,1680.0,13,3002.769230769231,39036,2,57.836,28.918,0,0.0,
2028,3,3,60.215666666666664,180.647,7,8593.214048340398,3,300,100.0,1,1239.0,1,38.0,21,64,5,886.2,7,3009.8571428571427,21069,1,55,55.0,0,0.0,
2033,1,1,25.675,25.675,6,3351.0721343011733,0,0,0,0,0,0,0,3,33,0,0,0,0,0,1,6,6.0,0,0.0,
2034,2,2,43.535,87.07,12,9881.641801670694,0,0,0,0,0,0,0,2,40,0,0,3,3005.6666666666665,9017,1,20,20.0,0,0.0,
2035,4,4,133.15375,532.615,2,27515.239861253882,18,1800,100.0,0,0,0,0,0,0,0,0,13,3058.4615384615386,39760,0,0.0,,6,95.392,31.79733333333333
2036,4,4,68.19725,272.789,11,14008.280023274063,43,4500,104.65116279069767,1,1755.0,0,0,9,79,6,878.0,9,3005.777777777778,27052,1,105,105.0,0,0.0,
2040,4,4,162.05125,648.205,8,3403.012460185092,1274,15459,12.134222919937205,0,0,2,2662.0,10,130,0,0,13,3002.3846153846152,39031,4,525.533,131.38325,0,0.0,
2043,3,3,241.46066666666664,724.382,8,16425.926628890702,0,0,0,0,0,0,0,14,104,0,0,10,3000.7,30007,4,501.256,125.314,0,0.0,
2046,5,5,34.0814,170.407,8,4688.003783967922,245,2689,10.975510204081633,1,618.0,1,4326.0,3,27,4,586.0,6,3002,18012,2,51.576,25.788,0,0.0,
2048,10,10,71.3903,713.903,18,19831.941854862267,267,2061,7.719101123595506,2,1116.0,7,1742.4285714285713,8,305,4,772.25,15,3001.6,45024,3,69.186,23.062,0,0.0,
