Participant,Scores
(A1,"[8, 6, 1, 12, 7, 2, 13, 11, 10, 5, 9, 4, 15, 3, 14]",)
(A2,"[10, 7, 8, 9, 5, 6, 11, 1, 14, 2, 3, 12, 4, 13, 15]",)
(A3,"[8, 4, 3, 10, 2, 5, 11, 15, 7, 1, 14, 12, 13, 6, 9]",)
(A4,"[1, 6, 12, 9, 5, 4, 10, 14, 11, 3, 8, 7, 13, 2, 15]",)
(A5,"[6, 8, 2, 13, 3, 11, 4, 10, 7, 1, 5, 12, 9, 15, 14]",)
(A6,"[4, 13, 1, 7, 2, 3, 8, 12, 9, 5, 14, 10, 11, 6, 15]",)
(A7,"[1, 6, 12, 9, 5, 4, 10, 14, 11, 3, 8, 7, 13, 2, 15]",)
(A8,"[4, 8, 13, 9, 1, 6, 7, 14, 11, 3, 5, 10, 12, 2, 15]",)
(A9,"[5, 6, 11, 10, 2, 4, 13, 3, 16, 1, 12, 9, 15, 8, 14]",)
(A10,"[7.6, 6, 11, 15, 5, 10, 8, 12, 9, 2, 4, 7, 1, 14, 13]",)
(B1,"[11, 8, 7, 13, 4, 2, 12, 15, 5, 1, 6, 9, 3, 10, 14]",)
(B2,"[7, 6, 2, 8, 3, 11, 4, 9, 10, 1, 5, 14, 12, 13, 15]",)
(B3,"[11, 7, 6, 14, 3, 2, 12, 15, 8, 5, 4, 9, 1, 10, 13]",)
(B4,"[9, 7, 11, 15, 6, 2, 8, 10, 14, 3, 13, 4, 1, 5, 12]",)
(B5,"[11, 7, 6, 14, 3, 2, 12, 15, 8, 5, 4, 9, 1, 10, 13]",)
(B6,"[7, 4, 12, 5, 3, 2, 13, 10, 9, 1, 6, 11, 11, 14, 15]",)
(B7,"[8, 9, 15, 11, 14, 12, 10, 2, 13, 1, 6, 5, 7, 4, 3]",)
(B8,"[11, 7, 6, 14, 3, 2, 12, 15, 8, 5, 4, 9, 1, 10, 13]",)
(B9,"[7, 3, 4, 15, 5, 14, 6, 9, 8, 1, 2, 10, 11, 12, 13]",)
(C1,"[11, 7, 6, 14, 2, 3, 12, 15, 8, 5, 4, 9, 1, 10, 13]",)
(C2,"[11, 7, 6, 14, 3, 2, 12, 15, 8, 5, 4, 9, 1, 10, 13]",)
(C3,"[4, 3, 5, 15, 6, 7, 8, 11, 12, 1, 2, 14, 9, 10, 13]",)
(C4,"[12, 7, 6, 15, 3, 2, 13, 9, 8, 5, 4, 10, 1, 11, 14]",)
(C5,"[12, 7, 6, 15, 3, 2, 13, 9, 8, 3, 4, 10, 5, 11, 14]",)
(C6,"[11, 7, 6, 14, 4, 3, 12, 15, 8, 2, 5, 9, 1, 10, 13]",)
(C7,"[11, 7, 6, 14, 3, 2, 12, 15, 8, 5, 4, 9, 1, 10, 13]",)
(C8,"[12, 7, 6, 14, 3, 2, 11, 15, 8, 5, 4, 9, 1, 10, 13]",)
(C9,"[11, 8, 9, 14, 3, 2, 12, 15, 10, 5, 4, 6, 1, 7, 13]",)
(C10,"[11, 7, 6, 9, 3, 2, 12, 9.5, 8, 5, 4, 9, 1, 10, 13]",)
(D1,"[4, 5, 9, 12, 6, 8, 7, 11, 3, 1, 2, 10, 14, 15, 13]",)
(D2,"[4, 11, 2, 15, 5, 6, 10, 1, 7, 3, 9, 8, 12, 13, 14]",)
(D3,"[8, 3, 2, 13, 4, 6, 7, 12, 10, 1, 14, 15, 9, 5, 11]",)
(D4,"[6, 5, 4, 8, 3, 7, 2, 12, 10, 1, 14, 15, 11, 9, 13]",)
(D5,"[7, 3, 5, 15, 4, 1, 9, 12, 8, 2, 6, 10, 11, 14, 13]",)
(D6,"[6, 5, 7, 8, 3, 9, 4, 13, 10, 1, 14, 15, 12, 2, 11]",)
(D7,"[10, 6, 1, 15, 2, 5, 11, 13, 7, 3, 4, 8, 12, 14, 9]",)
(D8,"[8, 6, 5, 15, 4, 3, 10, 14, 9, 1, 2, 12, 7, 11, 13]",)
(D9,"[6, 8, 5, 14, 2, 12, 7, 15, 9, 1, 4, 10, 3, 11, 13]",)
