filename,total_focus_time,element_switch_count,element_switch_speed,totaltime,click_count,total_mouse_movement,mousewheel_count,total_mousewheel_distance,average_mousewheel_distance,copy_count,average_copy_length,paste_count,average_paste_length,delete_count,keypress_count,highlight_count,average_highlight_length,idle_count,average_idle_duration,total_idle_duration,prompts_count,total_prompts_duration,average_prompts_duration,tab_switch_count,total_tab_switch_time,average_tab_switch_time
1034,9,9,40.108333333333334,360.975,13,43805.697204713375,0,0,0,4,65.5,0,0,29,288,5,67.2,22,3006.2727272727275,66138,2,303.26800000000003,151.63400000000001,0,0.0,
1035,24,24,37.761,906.264,36,71373.9268748299,86,8600,100.0,20,36.0,0,0,74,478,22,36.63636363636363,33,3007.2727272727275,99240,0,0,0.0,0,0.0,
1036,32,32,23.2351875,743.526,75,83401.70366240693,1778,26460,14.881889763779528,29,97.24137931034483,0,0,50,924,40,115.15,49,3008.061224489796,147395,6,647.1880000000001,107.86466666666668,2,3.076,3.076
1037,32,32,28.207625,902.644,50,60667.546670010495,1839,8934,4.858075040783034,27,27.88888888888889,0,0,44,549,33,28.666666666666668,51,3006.235294117647,153318,7,770.7780000000001,110.11114285714288,0,0.0,
2011,36,36,19.64966666666667,707.388,60,99443.6765815917,109,11000,100.91743119266054,30,54.6,3,444.0,3,142,43,79.62790697674419,22,3007.681818181818,66169,2,34.724,17.362,0,0.0,
2012,38,38,14.036999999999999,533.406,82,81799.95048439656,137,14000,102.18978102189782,27,56.370370370370374,2,329.5,15,235,35,50.68571428571428,28,3156.464285714286,88381,4,162.96800000000002,40.742000000000004,12,136.906,22.817666666666668
2014,4,4,92.1755,368.702,6,9719.290742019035,481,7382,15.347193347193347,0,0,0,0,12,120,0,0,14,3001.9285714285716,42027,3,227.348,75.78266666666667,0,0.0,
2015,9,9,82.35933333333334,741.234,20,23551.455968910865,2445,24175,9.887525562372188,1,72.0,1,72.0,51,542,3,35.333333333333336,44,3003.5,132154,0,0,0.0,0,0.0,
2020,41,41,24.853731707317074,1019.003,54,59863.20944820801,97,9700,100.0,31,91.51612903225806,0,0,0,56,38,140.68421052631578,42,3450.0238095238096,144901,2,662.516,331.258,76,584.5930000000001,15.384026315789475
2022,32,32,22.46471875,718.871,72,41705.39324241863,84,16033.332388877869,190.87300462949844,20,68.55,2,46.0,538,0,46,110.6304347826087,38,3028.657894736842,115089,0,0.0,,2,47.054,47.054
2026,8,8,70.24925,561.994,14,11827.991386122729,488,7821,16.026639344262296,4,14.25,0,0,37,266,4,14.25,15,3002.4666666666667,45037,3,300.774,100.258,0,0.0,
2027,23,23,16.67104347826087,383.434,30,13350.612057981467,327,4604,14.079510703363914,18,83.38888888888889,0,0,40,350,19,85.47368421052632,15,3003.866666666667,45058,1,101,101.0,0,0.0,
2028,29,29,30.27434482758621,877.956,51,71638.30583599559,36,3600,100.0,22,31.272727272727273,0,0,19,91,27,32.48148148148148,39,3015.5897435897436,117608,2,547.781,273.8905,2,25.685,25.685
