ID,total_focus_time,element_switch_count,element_switch_speed,totaltime_x,click_count_x,total_mouse_movement_x,mousewheel_count_x,total_mousewheel_distance_x,average_mousewheel_distance_x,copy_count_x,average_copy_length_x,paste_count_x,average_paste_length_x,delete_count_x,keypress_count_x,highlight_count_x,average_highlight_length_x,idle_count_x,average_idle_duration_x,total_idle_duration_x,prompts_count,total_prompts_duration,average_prompts_duration,tab_switch_count,total_tab_switch_time,average_tab_switch_time,totaltime_y,click_count_y,total_mouse_movement_y,mousewheel_count_y,total_mousewheel_distance_y,average_mousewheel_distance_y,copy_count_y,average_copy_length_y,paste_count_y,average_paste_length_y,delete_count_y,keypress_count_y,highlight_count_y,average_highlight_length_y,idle_count_y,average_idle_duration_y,total_idle_duration_y,Score
1001,9,9,58.24466666666667,524.202,31,43531.301342132094,732,7834.333282470703,10.702641096271453,3,1700.3333333333333,3,1515.0,38,548,8,1426.0,24,3013.375,72321,1,37.0,37.0,4,3.442,1.721,521.964,5,29609.19674073659,1020,14700.333221435549,14.412091393564262,1,4365.0,1,1639.0,0,0,2,4365.0,18,3052.1111111111118,54938,3.0
1002,14,14,63.39871428571429,887.582,20,17096.13179464498,555,10642.0,19.17477477477477,4,196.5,3,789.3333333333334,13,223,7,144.71428571428572,28,3034.6071428571427,84969,0,0.0,0.0,4,3.202,1.601,887.004,48,30947.59418798072,5330,51121.0,9.591181988742964,3,809.3333333333334,6,153.16666666666666,75,533,17,418.5882352941176,34,3015.764705882353,102536,8.0
1003,4,4,63.851,255.404,5,11414.269003129682,1328,4927.0,3.710090361445783,1,1398.0,0,0.0,1,65,2,1398.0,17,3007.823529411765,51133,1,20.0,20.0,4,1.386,0.693,260.212,11,16908.654850147937,873,3409.0,3.9049255441008017,0,0.0,1,1402.0,0,1,1,4326.0,6,3008.833333333333,18053,3.0
1005,8,8,79.459,635.672,19,22125.57295188278,948,13191.0,13.914556962025316,3,823.3333333333334,3,1771.3333333333333,53,392,4,988.0,30,3001.733333333333,90052,7,607.638,86.80542857142858,0,0.0,,635.671,9,16753.729334372852,1735,22144.0,12.763112391930836,2,2598.5,2,1176.5,1,2,3,2022.6666666666667,26,3001.576923076923,78041,3.0
1006,13,13,68.59246153846154,891.702,26,44370.34960768153,152,16500.0,108.55263157894736,4,155.5,2,2178.0,44,341,9,123.55555555555556,32,3006.59375,96211,0,0.0,0.0,0,0.0,,888.691,46,81141.10774485051,712,75000.0,105.3370786516854,3,1466.6666666666667,5,136.0,8,62,22,309.27272727272725,44,3052.7954545454545,134323,6.0
1007,13,13,68.49884615384616,890.485,32,36696.821821014935,147,3307.0,22.496598639455783,7,187.0,3,1552.0,0,32,12,193.83333333333331,24,3001.458333333333,72035,3,-2921.397,-973.799,0,0.0,,891.161,40,54117.45945054879,2397,38269.0,15.965373383395912,6,828.1666666666666,7,187.14285714285717,39,139,11,851.2727272727273,29,3001.137931034483,87033,5.0
1008,7,7,62.246857142857145,435.728,17,37994.77691946667,151,18300.0,121.19205298013244,2,1539.5,3,3433.0,65,627,5,1525.6,22,3006.590909090909,66145,10,367.2,36.72,0,0.0,,435.572,7,33921.34388286377,220,23700.0,107.72727272727272,1,4326.0,1,1476.0,0,0,3,4326.0,13,3007.923076923077,39103,11.0
1012,8,8,155.214,1241.712,21,110525.91713323674,78,7800.0,100.0,1,2288.0,2,2189.0,118,438,3,2288.0,43,3063.5116279069766,131731,12,795.29,66.27416666666666,16,334.135,41.766875,812.591,3,80745.7063760291,142,14200.0,100.0,2,2181.0,0,0.0,0,0,4,2181.0,18,3007.6666666666665,54138,5.0
1013,16,16,55.157875,882.526,40,58224.01421300831,0,0.0,0.0,2,1295.0,11,414.9090909090909,159,478,14,1179.428571428571,46,3008.260869565217,138380,9,766.535,85.17055555555555,0,0.0,,886.734,18,59858.573469412346,0,0.0,0.0,10,372.4,0,0.0,0,0,29,325.58620689655174,30,3006.733333333333,90202,8.0
1014,5,5,180.3938,901.969,21,28887.220778570736,158,10378.067626953123,65.68397232248813,2,1293.5,1,4326.0,126,442,3,1349.6666666666667,27,3001.555555555556,81042,9,848.3030000000001,94.2558888888889,2,1.203,1.203,901.542,10,17786.05293413095,619,48721.240234375,78.70959650141357,1,4326.0,2,1293.5,62,100,4,1402.75,40,3010.325,120413,1.0
1015,6,6,134.33116666666666,805.987,12,28309.950317016926,0,0.0,0.0,4,376.5,0,0.0,19,135,5,337.8,25,3006.08,75152,3,476.239,158.74633333333335,0,0.0,,805.054,12,37159.58715765743,148,16000.0,108.10810810810813,0,0.0,3,476.6666666666667,3,15,1,106.0,36,3008.1944444444443,108295,2.0
1016,4,4,50.426,201.704,16,27661.6780322934,129,14200.0,110.07751937984496,2,180.5,1,4342.0,8,199,4,166.0,6,3007.6666666666665,18046,4,81.155,20.28875,0,0.0,,202.182,65,37893.29349296299,129,13200.0,102.32558139534883,1,4326.0,2,180.5,0,0,51,304.4313725490196,4,3007.75,12031,10.0
1019,1,1,875.471,875.471,23,15235.842286047677,496,7265.0,14.647177419354838,1,3755.0,0,0.0,57,924,2,3755.0,34,3006.8529411764707,102233,0,0.0,0.0,0,0.0,,880.53,1,22244.23056888408,1812,7230.0,3.9900662251655623,0,0.0,0,0.0,0,0,0,0.0,30,3007.1,90213,0.0
1020,10,10,87.9,879.0,53,69975.56088294336,0,0.0,0.0,5,707.6,5,510.0,95,512,33,778.5757575757576,40,3006.375,120255,0,0.0,0.0,0,0.0,,882.836,5,46785.80026899489,0,0.0,0.0,0,0.0,1,1071.0,0,0,3,4326.0,18,3006.3888888888887,54115,2.0
1030,7,7,84.89,594.23,21,39734.913582492336,338,35600.0,105.32544378698223,5,1257.2,2,4351.0,58,527,9,1192.4444444444443,27,3006.296296296296,81170,4,234.415,58.603750000000005,0,0.0,,592.889,13,46485.86418181286,187,23374.999071161,124.99999503294652,1,4326.0,4,486.5,18,15,3,2910.0,15,3007.8,45117,3.0
1031,3,3,138.55933333333334,415.678,4,8656.894518165009,305,4647.0,15.236065573770492,1,1622.0,1,4326.0,5,79,2,1622.0,5,3001.8,15009,1,48.0,48.0,0,0.0,,415.964,10,15454.630221420972,3253,23207.0,7.134030126037504,1,4326.0,1,1622.0,0,0,5,3363.8,23,3001.391304347826,69032,1.0
1033,13,13,60.32623076923077,784.241,29,29732.149086570425,25,2600.0,104.0,8,104.0,1,1478.0,64,529,9,107.22222222222224,42,3042.3809523809523,127780,12,474.913,39.57608333333333,8,48.027,12.006749999999998,803.406,20,68936.15195151893,190,19300.0,101.57894736842104,1,1476.0,6,117.83333333333331,9,21,1,1476.0,27,3023.259259259259,81628,7.0
1034,5,5,103.2056,516.028,9,71165.8731025049,101,10200.0,100.990099009901,1,1021.0,1,4342.0,12,177,3,2122.6666666666665,25,3005.76,75144,3,284.27,94.75666666666666,0,0.0,,517.193,7,74286.15020869655,171,17200.0,100.58479532163744,1,4326.0,1,1025.0,0,6,1,4326.0,15,3007.4,45111,6.0
1035,18,18,48.50522222222222,873.094,31,73349.93219913036,250,25300.0,101.2,9,87.0,2,2232.0,35,327,13,66.46153846153847,25,3006.28,75157,4,479.279,119.81975,0,0.0,,871.147,39,83138.69388032626,146,14600.0,100.0,2,2168.5,9,74.66666666666667,58,465,5,1791.4,33,3008.2727272727275,99273,6.0
1036,10,10,89.0595,890.595,29,45187.68506568122,1171,10251.0,8.75405636208369,3,1114.6666666666667,4,1612.5,41,675,5,903.6,24,3008.0416666666665,72193,0,0.0,0.0,0,0.0,,887.153,96,88302.32070525167,2855,32688.0,11.449387040280213,3,2047.6666666666667,4,869.5,10,36,63,254.73015873015876,26,3012.192307692308,78317,8.0
